project_name,month,actual_hours,actual_revenue,actual_cost
Project 0548,2026-07-01,176.53,32915.32,20797.72
Project 0548,2026-08-01,211.68,32044.53,19294.51
Project 0549,2024-09-01,205.09,34416.82,20168.58
Project 0549,2024-10-01,188.17,29833.05,20527.51
Project 0549,2024-11-01,176.48,33421.83,23026.75
Project 0549,2024-12-01,240.62,28835.58,19933.94
Project 0549,2025-01-01,193.54,28599.0,20456.06
Project 0549,2025-02-01,258.71,33746.52,21501.39
Project 0549,2025-03-01,209.42,30591.36,19878.65
Project 0549,2025-04-01,256.45,32713.3,19190.74
Project 0549,2025-05-01,221.12,30022.94,19442.82
Project 0549,2025-06-01,255.17,31546.39,22942.11
Project 0549,2025-07-01,246.27,27275.6,17615.17
Project 0549,2025-08-01,186.33,30160.15,16974.95
Project 0549,2025-09-01,239.24,36408.7,23319.24
Project 0549,2025-10-01,184.11,33998.42,22829.58
Project 0549,2025-11-01,220.21,32869.95,19739.05
Project 0549,2025-12-01,205.11,36149.59,20784.54
Project 0549,2026-01-01,232.43,32533.72,22804.66
Project 0549,2026-02-01,237.02,33909.39,20057.65
Project 0549,2026-03-01,199.83,35397.22,20133.83
Project 0549,2026-04-01,223.32,28863.6,17070.99
Project 0549,2026-05-01,226.37,29222.52,17959.81
Project 0549,2026-06-01,194.72,26496.45,18781.78
Project 0549,2026-07-01,189.84,36146.76,24804.05
Project 0549,2026-08-01,204.91,35602.87,25487.83
Project 0550,2024-09-01,300.52,86991.91,48832.75
Project 0550,2024-10-01,305.07,87315.2,48263.27
Project 0550,2024-11-01,273.6,75267.68,54971.03
Project 0550,2024-12-01,301.25,66545.06,47119.89
Project 0550,2025-01-01,388.77,84303.92,54753.65
Project 0550,2025-02-01,332.3,89221.74,63181.63
Project 0550,2025-03-01,394.63,72186.3,49592.23
Project 0550,2025-04-01,272.52,64421.22,46909.09
Project 0550,2025-05-01,305.01,84391.48,55218.97
Project 0550,2025-06-01,271.77,85569.04,49427.06
Project 0550,2025-07-01,268.66,81827.75,50775.21
Project 0550,2025-08-01,368.09,69184.63,38085.42
Project 0550,2025-09-01,271.13,65465.09,40170.39
Project 0550,2025-10-01,290.08,68657.64,42847.76
Project 0550,2025-11-01,272.18,68155.13,45435.64
Project 0550,2025-12-01,345.64,88267.95,61911.5
Project 0550,2026-01-01,279.07,88825.21,57022.41
Project 0550,2026-02-01,303.84,78183.02,52587.93
Project 0550,2026-03-01,380.11,79327.4,56838.33
Project 0550,2026-04-01,281.37,66204.98,39357.16
Project 0550,2026-05-01,339.38,69441.51,42741.12
Project 0550,2026-06-01,273.96,88301.35,52918.73
Project 0550,2026-07-01,342.29,85993.53,56711.5
Project 0550,2026-08-01,293.6,78523.77,55146.42
Project 0551,2024-09-01,111.2,19254.8,11272.37
Project 0551,2024-10-01,129.96,21470.02,15129.69
Project 0551,2024-11-01,127.26,20409.46,11743.75
Project 0551,2024-12-01,148.45,21403.04,13059.27
Project 0551,2025-01-01,146.52,19439.87,10700.17
Project 0551,2025-02-01,149.26,20458.85,11590.26
Project 0551,2025-03-01,159.74,21270.22,12932.99
Project 0551,2025-04-01,151.14,16941.11,9735.55
Project 0551,2025-05-01,138.34,21756.66,15925.05
Project 0551,2025-06-01,126.24,20262.69,13041.22
Project 0551,2025-07-01,159.13,19481.9,14073.16
Project 0551,2025-08-01,126.81,20545.35,13471.87
Project 0551,2025-09-01,122.83,16722.48,10210.94
Project 0551,2025-10-01,163.46,16322.04,9377.48
Project 0551,2025-11-01,139.93,20641.04,14786.28
Project 0551,2025-12-01,155.69,20946.91,13273.41
Project 0551,2026-01-01,114.44,21590.11,13793.57
Project 0551,2026-02-01,167.37,22701.82,12859.28
Project 0551,2026-03-01,128.14,19783.9,13763.55
Project 0551,2026-04-01,108.56,20910.59,15038.14
Project 0551,2026-05-01,168.48,17365.83,12695.92
Project 0551,2026-06-01,148.03,17137.97,10441.66
Project 0551,2026-07-01,162.78,16531.21,9690.02
Project 0551,2026-08-01,165.89,18731.85,10584.82
Project 0552,2024-09-01,377.5,48414.2,34016.46
Project 0552,2024-10-01,353.44,53134.71,37127.17
Project 0552,2024-11-01,428.57,54556.74,35481.73
Project 0552,2024-12-01,393.87,49377.69,35246.87
Project 0552,2025-01-01,302.68,47682.75,29899.96
Project 0552,2025-02-01,385.9,51309.49,35952.48
Project 0552,2025-03-01,312.84,47549.96,27248.1
Project 0552,2025-04-01,317.94,47230.9,35255.67
Project 0552,2025-05-01,376.63,42408.61,23339.73
Project 0552,2025-06-01,326.62,43345.59,30237.78
Project 0552,2025-07-01,286.46,47476.09,29712.16
Project 0552,2025-08-01,388.0,50022.09,28051.28
Project 0552,2025-09-01,324.64,54872.08,39963.62
Project 0552,2025-10-01,376.81,42658.88,26926.97
Project 0552,2025-11-01,365.43,48939.34,26936.68
Project 0552,2025-12-01,286.32,45013.07,30909.27
Project 0552,2026-01-01,347.03,53584.75,35095.89
Project 0552,2026-02-01,347.11,40139.81,23191.66
Project 0552,2026-03-01,312.46,40120.43,29053.96
Project 0552,2026-04-01,427.42,55781.74,41497.94
Project 0552,2026-05-01,310.45,51490.51,34119.37
Project 0552,2026-06-01,367.96,51503.98,34040.7
Project 0552,2026-07-01,360.39,49021.97,29811.13
Project 0552,2026-08-01,293.19,49889.7,29144.84
Project 0553,2024-09-01,96.94,36192.61,25853.71
Project 0553,2024-10-01,89.66,33952.73,24131.21
Project 0553,2024-11-01,113.66,26792.84,18382.89
Project 0553,2024-12-01,114.55,36213.02,22671.25
Project 0553,2025-01-01,100.15,35421.31,20594.76
Project 0553,2025-02-01,115.09,35113.81,19906.35
Project 0553,2025-03-01,101.81,36252.26,20126.51
Project 0553,2025-04-01,110.27,31870.36,20927.23
Project 0553,2025-05-01,113.86,33735.25,24422.71
Project 0553,2025-06-01,94.27,27779.64,15896.43
Project 0553,2025-07-01,117.11,32471.16,19040.1
Project 0553,2025-08-01,117.08,30313.03,21219.84
Project 0553,2025-09-01,94.33,26565.69,19859.9
Project 0553,2025-10-01,103.03,30872.24,21307.87
Project 0553,2025-11-01,98.24,33247.02,19168.88
Project 0553,2025-12-01,116.19,33748.42,24917.79
Project 0553,2026-01-01,97.09,32451.91,20016.08
Project 0553,2026-02-01,114.01,26930.88,15550.18
Project 0553,2026-03-01,107.83,29009.09,20043.91
Project 0553,2026-04-01,107.89,33439.56,22016.45
Project 0553,2026-05-01,119.0,27510.03,20039.08
Project 0553,2026-06-01,98.74,30623.25,19253.15
Project 0553,2026-07-01,107.43,32954.49,19651.18
Project 0553,2026-08-01,103.5,30641.78,22907.92
Project 0554,2024-09-01,337.16,27781.23,17205.87
Project 0554,2024-10-01,340.56,25306.66,17205.02
Project 0554,2024-11-01,327.7,29797.47,21628.8
Project 0554,2024-12-01,352.4,32374.6,19683.88
Project 0554,2025-01-01,285.13,32842.55,18199.05
Project 0554,2025-02-01,335.18,24783.56,14978.73
Project 0554,2025-03-01,320.61,27597.23,19271.2
Project 0554,2025-04-01,331.94,30271.51,22346.75
Project 0554,2025-05-01,269.02,33413.76,24437.43
Project 0554,2025-06-01,325.75,27487.41,19926.81
Project 0554,2025-07-01,345.43,30958.56,22769.07
Project 0554,2025-08-01,291.97,34613.9,25910.36
Project 0554,2025-09-01,298.94,27215.16,19108.88
Project 0554,2025-10-01,243.64,34648.13,25609.42
Project 0554,2025-11-01,359.4,34951.65,19981.05
Project 0554,2025-12-01,322.94,33270.52,18362.18
Project 0554,2026-01-01,256.82,34799.49,21901.55
Project 0554,2026-02-01,278.31,24646.15,16356.79
Project 0554,2026-03-01,370.31,34229.91,21724.75
Project 0554,2026-04-01,258.15,28880.63,18762.93
Project 0554,2026-05-01,258.83,34328.11,20709.96
Project 0554,2026-06-01,321.13,33809.18,20829.89
Project 0554,2026-07-01,251.21,32973.03,23795.65
Project 0554,2026-08-01,338.77,29836.44,19503.44
Project 0555,2024-09-01,19.29,1608.44,934.44
Project 0555,2024-10-01,18.55,1598.03,1003.55
Project 0555,2024-11-01,18.82,1925.39,1205.81
Project 0555,2024-12-01,21.48,1659.56,926.06
Project 0555,2025-01-01,17.28,1890.98,1182.75
Project 0555,2025-02-01,20.98,1866.1,1296.72
Project 0555,2025-03-01,18.12,1877.69,1208.92
Project 0555,2025-04-01,15.29,1744.67,1154.8
Project 0555,2025-05-01,19.1,1652.4,1085.41
Project 0555,2025-06-01,17.63,2049.09,1399.28
Project 0555,2025-07-01,19.64,1828.58,1103.35
Project 0555,2025-08-01,18.63,1615.42,1162.8
Project 0555,2025-09-01,18.06,1909.39,1147.58
Project 0555,2025-10-01,21.59,1934.38,1146.32
Project 0555,2025-11-01,15.51,1959.62,1430.83
Project 0555,2025-12-01,15.58,1859.86,1036.41
Project 0555,2026-01-01,19.01,1893.26,1272.77
Project 0555,2026-02-01,19.07,1758.36,1274.18
Project 0555,2026-03-01,16.9,2056.76,1331.9
Project 0555,2026-04-01,17.44,1625.44,1152.73
Project 0555,2026-05-01,17.28,1721.97,1239.86
Project 0555,2026-06-01,20.99,1452.81,851.75
Project 0555,2026-07-01,17.03,1626.38,1180.97
Project 0555,2026-08-01,19.45,2029.24,1294.43
Project 0556,2024-09-01,388.09,104110.15,77124.61
Project 0556,2024-10-01,432.54,120944.07,80638.95
Project 0556,2024-11-01,329.78,99450.81,65328.36
Project 0556,2024-12-01,303.55,97774.87,63088.66
Project 0556,2025-01-01,393.24,106152.28,59950.86
Project 0556,2025-02-01,400.66,102883.29,76361.29
Project 0556,2025-03-01,404.06,85862.65,48294.95
Project 0556,2025-04-01,320.29,90834.27,55933.42
Project 0556,2025-05-01,434.03,115821.2,72387.14
Project 0556,2025-06-01,327.58,100958.24,64260.2
Project 0556,2025-07-01,320.56,95144.23,55344.79
Project 0556,2025-08-01,310.91,113753.3,76579.51
Project 0556,2025-09-01,430.96,91155.25,55139.21
Project 0556,2025-10-01,366.72,86600.14,64946.59
Project 0556,2025-11-01,386.4,115146.35,67693.13
Project 0556,2025-12-01,431.08,89298.22,63182.2
Project 0556,2026-01-01,361.61,102105.89,71447.02
Project 0556,2026-02-01,358.74,104849.95,62946.06
Project 0556,2026-03-01,390.49,89486.18,64001.39
Project 0556,2026-04-01,407.39,112658.49,82890.78
Project 0556,2026-05-01,314.28,99591.35,56805.89
Project 0556,2026-06-01,389.52,120418.1,85756.79
Project 0556,2026-07-01,357.8,104832.2,61856.65
Project 0556,2026-08-01,302.01,116754.21,85236.01
Project 0557,2024-09-01,211.55,89091.85,50851.8
Project 0557,2024-10-01,219.27,113361.26,70402.8
Project 0557,2024-11-01,214.84,90712.34,59533.91
Project 0557,2024-12-01,312.97,117468.45,68575.56
Project 0557,2025-01-01,264.73,113390.13,68561.36
Project 0557,2025-02-01,236.46,104662.03,75977.35
Project 0557,2025-03-01,226.76,104085.37,69126.19
Project 0557,2025-04-01,267.09,100014.34,62308.45
Project 0557,2025-05-01,280.87,98720.72,68780.1
Project 0557,2025-06-01,215.74,114590.54,76073.09
Project 0557,2025-07-01,224.3,108656.34,79568.99
Project 0557,2025-08-01,310.6,90521.81,61772.2
Project 0557,2025-09-01,314.92,101773.32,75703.77
Project 0557,2025-10-01,292.56,117425.46,72548.53
Project 0557,2025-11-01,289.08,113046.15,69485.61
Project 0557,2025-12-01,300.3,115108.81,73734.74
Project 0557,2026-01-01,330.15,98015.53,61234.4
Project 0557,2026-02-01,275.16,85123.88,61882.57
Project 0557,2026-03-01,305.76,102666.6,57593.18
Project 0557,2026-04-01,219.93,105845.6,69992.66
Project 0557,2026-05-01,324.1,99563.52,57397.66
Project 0557,2026-06-01,226.92,82098.17,47956.93
Project 0557,2026-07-01,308.41,90733.62,56742.65
Project 0557,2026-08-01,243.1,111832.08,80754.86
Project 0558,2024-09-01,265.14,42124.41,29453.8
Project 0558,2024-10-01,229.86,49555.39,36502.67
Project 0558,2024-11-01,195.42,52674.22,35005.96
Project 0558,2024-12-01,270.37,57979.46,38661.67
Project 0558,2025-01-01,249.07,44834.17,33597.93
Project 0558,2025-02-01,210.74,50673.89,33470.11
Project 0558,2025-03-01,268.77,45001.67,32296.21
Project 0558,2025-04-01,266.18,44050.84,32534.36
Project 0558,2025-05-01,233.99,47785.51,27340.52
Project 0558,2025-06-01,222.4,43521.96,24369.5
Project 0558,2025-07-01,264.51,58042.72,32704.82
Project 0558,2025-08-01,194.71,42844.19,31532.97
Project 0558,2025-09-01,239.66,56098.35,39564.45
Project 0558,2025-10-01,198.18,45639.11,28000.77
Project 0558,2025-11-01,232.91,53087.52,31413.03
Project 0558,2025-12-01,240.99,49996.08,30593.79
Project 0558,2026-01-01,192.34,43361.93,25277.71
Project 0558,2026-02-01,179.61,53581.1,38950.78
Project 0558,2026-03-01,231.9,43525.55,32030.74
Project 0558,2026-04-01,210.68,43122.19,26545.56
Project 0558,2026-05-01,232.13,48297.03,29095.13
Project 0558,2026-06-01,267.88,42477.6,29723.92
Project 0558,2026-07-01,217.8,44457.37,25009.24
Project 0558,2026-08-01,177.53,42487.4,29790.28
Project 0559,2024-09-01,295.93,16352.43,9992.04
Project 0559,2024-10-01,208.51,18331.01,12410.49
Project 0559,2024-11-01,231.18,15847.46,11299.59
Project 0559,2024-12-01,307.93,13998.94,9898.77
Project 0559,2025-01-01,312.69,15817.57,9340.24
Project 0559,2025-02-01,300.55,16097.86,12063.11
Project 0559,2025-03-01,284.38,15119.93,9240.48
Project 0559,2025-04-01,213.91,18278.02,11281.82
Project 0559,2025-05-01,255.73,14137.14,9758.87
Project 0559,2025-06-01,269.74,15955.34,10591.43
Project 0559,2025-07-01,255.14,15452.19,8712.0
Project 0559,2025-08-01,251.88,16442.19,9137.64
Project 0559,2025-09-01,283.76,16765.33,10737.36
Project 0559,2025-10-01,260.35,17556.72,12413.23
Project 0559,2025-11-01,237.44,16768.82,11998.32
Project 0559,2025-12-01,232.63,14092.95,9418.28
Project 0559,2026-01-01,207.85,18814.31,10709.31
Project 0559,2026-02-01,238.92,15379.06,11053.05
Project 0559,2026-03-01,201.58,19430.39,10746.39
Project 0559,2026-04-01,215.09,18866.92,11657.25
Project 0559,2026-05-01,231.77,15336.12,9442.73
Project 0559,2026-06-01,270.36,15700.41,10609.66
Project 0559,2026-07-01,297.55,16819.34,12095.36
Project 0559,2026-08-01,261.63,14988.81,10593.6
Project 0560,2024-09-01,232.4,23978.39,15557.66
Project 0560,2024-10-01,283.91,21378.32,13170.16
Project 0560,2024-11-01,284.6,19616.98,12356.09
Project 0560,2024-12-01,311.52,17415.61,10099.82
Project 0560,2025-01-01,297.67,18515.5,11425.93
Project 0560,2025-02-01,274.96,19881.08,11169.34
Project 0560,2025-03-01,209.0,19187.32,11671.68
Project 0560,2025-04-01,308.22,24001.63,14686.3
Project 0560,2025-05-01,218.5,18811.77,11830.42
Project 0560,2025-06-01,301.65,23670.59,13236.26
Project 0560,2025-07-01,226.37,18976.38,13581.13
Project 0560,2025-08-01,245.52,20855.53,15460.65
Project 0560,2025-09-01,253.83,24423.21,14059.62
Project 0560,2025-10-01,215.82,18685.64,12820.23
Project 0560,2025-11-01,267.34,21603.92,12307.22
Project 0560,2025-12-01,264.9,23418.6,13306.3
Project 0560,2026-01-01,316.56,23067.63,14722.59
Project 0560,2026-02-01,214.58,18264.66,10140.1
Project 0560,2026-03-01,283.26,23244.6,15500.61
Project 0560,2026-04-01,318.64,23208.33,14629.82
Project 0560,2026-05-01,246.54,22753.35,14116.44
Project 0560,2026-06-01,269.44,23857.05,13696.87
Project 0560,2026-07-01,295.15,20454.12,15095.13
Project 0560,2026-08-01,248.51,22058.3,13243.73
Project 0561,2024-09-01,367.34,33826.08,18634.22
Project 0561,2024-10-01,384.13,31910.42,21847.34
Project 0561,2024-11-01,428.3,36711.6,24365.83
Project 0561,2024-12-01,406.36,31923.54,20044.01
Project 0561,2025-01-01,365.93,31543.31,19172.24
Project 0561,2025-02-01,387.57,33502.98,25100.08
Project 0561,2025-03-01,321.47,36608.23,20796.88
Project 0561,2025-04-01,280.67,33075.84,21266.14
Project 0561,2025-05-01,358.8,36798.76,26607.58
Project 0561,2025-06-01,350.96,34725.86,21249.98
Project 0561,2025-07-01,420.95,39017.78,29091.03
Project 0561,2025-08-01,433.14,40811.63,28257.64
Project 0561,2025-09-01,304.95,35582.87,25029.44
Project 0561,2025-10-01,411.24,37734.4,24243.98
Project 0561,2025-11-01,391.61,39702.46,23195.17
Project 0561,2025-12-01,406.78,31138.72,19777.4
Project 0561,2026-01-01,344.64,31664.76,18437.62
Project 0561,2026-02-01,288.96,39693.91,24635.96
Project 0561,2026-03-01,416.2,35511.36,25082.02
Project 0561,2026-04-01,408.52,28834.12,19538.69
Project 0561,2026-05-01,375.56,30219.84,21564.24
Project 0561,2026-06-01,436.11,36075.81,23499.81
Project 0561,2026-07-01,288.77,36963.01,26341.3
Project 0561,2026-08-01,366.64,36350.53,25145.91
Project 0562,2024-09-01,28.44,1266.39,844.31
Project 0562,2024-10-01,21.3,1248.39,804.42
Project 0562,2024-11-01,26.83,1256.48,805.63
Project 0562,2024-12-01,21.47,1082.25,751.29
Project 0562,2025-01-01,22.71,1311.3,838.15
Project 0562,2025-02-01,21.82,1153.58,709.72
Project 0562,2025-03-01,20.71,1133.88,738.04
Project 0562,2025-04-01,27.85,1217.62,820.75
Project 0562,2025-05-01,25.38,1169.78,768.8
Project 0562,2025-06-01,30.87,1425.25,1016.36
Project 0562,2025-07-01,30.26,1267.1,742.04
Project 0562,2025-08-01,24.98,1326.9,768.21
Project 0562,2025-09-01,25.21,1050.46,627.96
Project 0562,2025-10-01,23.39,1128.46,782.78
Project 0562,2025-11-01,27.88,1090.01,770.14
Project 0562,2025-12-01,22.57,1281.51,718.04
Project 0562,2026-01-01,29.35,1198.51,683.6
Project 0562,2026-02-01,25.06,1348.4,984.02
Project 0562,2026-03-01,27.74,1175.49,820.52
Project 0562,2026-04-01,21.56,1105.43,628.49
Project 0562,2026-05-01,25.97,1329.16,754.09
Project 0562,2026-06-01,21.38,1154.19,656.2
Project 0562,2026-07-01,20.86,1149.93,692.3
Project 0562,2026-08-01,26.11,1262.93,737.04
Project 0563,2024-09-01,94.39,16686.05,9734.42
Project 0563,2024-10-01,72.28,15707.33,10449.86
Project 0563,2024-11-01,99.1,15447.84,9208.12
Project 0563,2024-12-01,90.17,17003.4,10195.85
Project 0563,2025-01-01,83.12,18068.09,10016.49
Project 0563,2025-02-01,81.96,21040.12,12888.84
Project 0563,2025-03-01,65.43,18092.58,12548.95
Project 0563,2025-04-01,96.53,19033.88,12235.69
Project 0563,2025-05-01,70.23,20980.22,11776.24
Project 0563,2025-06-01,72.72,21788.94,15616.5
Project 0563,2025-07-01,69.05,17132.86,11933.14
Project 0563,2025-08-01,93.98,20643.39,14924.63
Project 0563,2025-09-01,77.91,18654.09,13061.48
Project 0563,2025-10-01,98.38,19235.2,12025.22
Project 0563,2025-11-01,84.76,15688.02,9737.46
Project 0563,2025-12-01,83.86,17707.81,13003.84
Project 0563,2026-01-01,77.16,17197.7,12524.22
Project 0563,2026-02-01,71.91,21430.38,14814.1
Project 0563,2026-03-01,97.32,18198.86,12674.58
Project 0563,2026-04-01,93.03,18729.69,14039.32
Project 0563,2026-05-01,76.94,18410.96,12361.25
Project 0563,2026-06-01,88.93,20001.19,12895.1
Project 0563,2026-07-01,93.19,17637.87,13081.16
Project 0563,2026-08-01,88.13,21219.93,13199.43
Project 0564,2024-09-01,103.23,17028.95,11184.32
Project 0564,2024-10-01,111.59,17958.42,11678.48
Project 0564,2024-11-01,144.35,13813.06,8564.74
Project 0564,2024-12-01,118.7,16793.12,11243.33
Project 0564,2025-01-01,115.82,17741.65,11600.42
Project 0564,2025-02-01,135.95,18038.39,10127.01
Project 0564,2025-03-01,118.58,16714.37,11562.26
Project 0564,2025-04-01,116.03,13481.6,7648.09
Project 0564,2025-05-01,146.47,18773.94,13960.64
Project 0564,2025-06-01,142.6,17151.83,11532.44
Project 0564,2025-07-01,144.09,16265.16,11470.73
Project 0564,2025-08-01,147.44,17677.7,13006.35
Project 0564,2025-09-01,113.36,15991.38,10432.09
Project 0564,2025-10-01,149.91,13928.95,10401.73
Project 0564,2025-11-01,139.2,17205.91,10577.07
Project 0564,2025-12-01,147.8,18456.43,10434.9
Project 0564,2026-01-01,112.14,14153.67,9776.43
Project 0564,2026-02-01,109.86,14457.69,9055.9
Project 0564,2026-03-01,152.04,16965.44,11990.81
Project 0564,2026-04-01,100.35,16653.15,10880.63
Project 0564,2026-05-01,114.33,14579.02,8749.92
Project 0564,2026-06-01,101.06,15418.48,10258.96
Project 0564,2026-07-01,134.43,13651.91,9503.92
Project 0564,2026-08-01,141.16,16230.15,12066.76
Project 0565,2024-09-01,313.09,103244.06,63468.91
Project 0565,2024-10-01,234.04,107307.07,60614.54
Project 0565,2024-11-01,249.78,121231.83,83629.39
Project 0565,2024-12-01,362.96,117745.69,81140.82
Project 0565,2025-01-01,314.1,94935.56,62166.52
Project 0565,2025-02-01,322.51,125944.76,82329.55
Project 0565,2025-03-01,289.9,114417.16,74563.54
Project 0565,2025-04-01,241.65,118275.64,79607.44
Project 0565,2025-05-01,344.3,93342.01,68932.39
Project 0565,2025-06-01,326.19,120550.57,89056.67
Project 0565,2025-07-01,261.54,98465.78,63628.89
Project 0565,2025-08-01,358.84,90166.78,50173.35
Project 0565,2025-09-01,278.08,113312.21,64655.17
Project 0565,2025-10-01,265.97,90841.18,51900.91
Project 0565,2025-11-01,263.64,126846.66,72153.73
Project 0565,2025-12-01,286.04,120136.91,86346.39
Project 0565,2026-01-01,362.45,122840.09,87310.51
Project 0565,2026-02-01,308.8,98293.69,64406.94
Project 0565,2026-03-01,270.52,109855.14,65037.34
Project 0565,2026-04-01,244.74,118061.34,66105.29
Project 0565,2026-05-01,329.61,104863.67,75890.53
Project 0565,2026-06-01,342.3,111110.9,61673.02
Project 0565,2026-07-01,248.92,107778.27,71838.91
Project 0565,2026-08-01,232.24,126086.21,86198.11
Project 0566,2024-09-01,246.21,11962.32,6626.57
Project 0566,2024-10-01,182.04,9558.77,5420.69
Project 0566,2024-11-01,214.65,11720.72,8145.48
Project 0566,2024-12-01,184.28,10285.0,7134.6
Project 0566,2025-01-01,183.88,11316.05,8315.86
Project 0566,2025-02-01,237.35,10083.56,5610.46
Project 0566,2025-03-01,267.91,10604.8,7712.89
Project 0566,2025-04-01,259.5,9743.22,5929.86
Project 0566,2025-05-01,244.7,12195.05,7565.94
Project 0566,2025-06-01,220.62,12422.62,7621.76
Project 0566,2025-07-01,265.41,9969.95,6996.07
Project 0566,2025-08-01,197.81,10242.82,6067.06
Project 0566,2025-09-01,183.68,9833.17,6361.54
Project 0566,2025-10-01,173.86,9042.62,6091.24
Project 0566,2025-11-01,256.15,9226.86,5271.73
Project 0566,2025-12-01,239.4,10991.98,6549.36
Project 0566,2026-01-01,220.24,12335.07,7562.19
Project 0566,2026-02-01,257.44,12385.07,8569.54
Project 0566,2026-03-01,211.24,10011.91,6887.66
Project 0566,2026-04-01,221.59,9603.07,6698.57
Project 0566,2026-05-01,243.78,11439.08,8332.04
Project 0566,2026-06-01,217.97,12646.06,7107.04
Project 0566,2026-07-01,184.37,12125.55,7201.23
Project 0566,2026-08-01,246.33,11421.41,7868.55
Project 0567,2024-09-01,228.48,69401.66,49722.07
Project 0567,2024-10-01,187.63,75138.59,48296.47
Project 0567,2024-11-01,216.63,62713.58,45354.0
Project 0567,2024-12-01,196.71,79306.43,56909.36
Project 0567,2025-01-01,221.14,78367.06,58492.13
Project 0567,2025-02-01,173.04,78866.16,56324.05
Project 0567,2025-03-01,194.06,67800.32,48089.4
Project 0567,2025-04-01,152.09,66299.37,45987.16
Project 0567,2025-05-01,229.32,81214.38,57644.51
Project 0567,2025-06-01,220.13,82054.29,45623.81
Project 0567,2025-07-01,178.64,67138.46,39869.02
Project 0567,2025-08-01,194.4,78558.84,56346.95
Project 0567,2025-09-01,200.43,73550.59,46103.69
Project 0567,2025-10-01,208.35,78346.52,48398.59
Project 0567,2025-11-01,189.49,83542.86,51238.34
Project 0567,2025-12-01,168.94,75752.83,54248.78
Project 0567,2026-01-01,224.36,75563.55,46532.81
Project 0567,2026-02-01,192.75,79997.94,44945.34
Project 0567,2026-03-01,168.5,63177.31,44451.44
Project 0567,2026-04-01,197.98,63405.47,43147.96
Project 0567,2026-05-01,216.98,77945.39,54056.75
Project 0567,2026-06-01,196.4,63661.72,38708.48
Project 0567,2026-07-01,213.92,77976.99,46468.79
Project 0567,2026-08-01,154.86,74569.46,52475.25
Project 0568,2024-09-01,329.93,53814.5,38275.63
Project 0568,2024-10-01,305.24,55185.27,34224.75
Project 0568,2024-11-01,334.23,44702.62,28582.0
Project 0568,2024-12-01,280.86,49071.23,27530.59
Project 0568,2025-01-01,344.99,51621.01,29318.02
Project 0568,2025-02-01,350.14,46899.3,31756.36
Project 0568,2025-03-01,431.85,42196.99,27214.57
Project 0568,2025-04-01,418.23,52069.58,28969.67
Project 0568,2025-05-01,360.35,50675.35,28453.27
Project 0568,2025-06-01,310.07,52284.37,36095.89
Project 0568,2025-07-01,396.5,46485.05,34322.34
Project 0568,2025-08-01,351.26,55224.15,32861.38
Project 0568,2025-09-01,379.09,57539.51,36203.32
Project 0568,2025-10-01,295.48,48571.95,31623.17
Project 0568,2025-11-01,332.88,43159.47,27982.59
Project 0568,2025-12-01,373.62,56756.24,35437.35
Project 0568,2026-01-01,392.89,42105.0,27089.12
Project 0568,2026-02-01,378.68,41316.29,25616.97
Project 0568,2026-03-01,407.31,47209.3,27261.56
Project 0568,2026-04-01,332.55,46094.43,25382.63
Project 0568,2026-05-01,406.76,54957.64,37501.29
Project 0568,2026-06-01,318.27,55898.66,33210.85
Project 0568,2026-07-01,368.48,41322.71,26829.64
Project 0568,2026-08-01,351.06,54344.48,32098.42
Project 0569,2024-09-01,29.92,6246.47,4629.67
Project 0569,2024-10-01,25.33,5691.25,4098.87
Project 0569,2024-11-01,29.78,6385.34,3545.13
Project 0569,2024-12-01,28.51,4672.65,3239.3
Project 0569,2025-01-01,23.85,5280.74,3800.63
Project 0569,2025-02-01,28.44,6567.61,3708.17
Project 0569,2025-03-01,34.58,5200.75,3424.44
Project 0569,2025-04-01,28.28,5387.57,3087.5
Project 0569,2025-05-01,30.12,5297.82,3627.04
Project 0569,2025-06-01,35.92,5141.55,3326.38
Project 0569,2025-07-01,31.8,5430.3,3168.71
Project 0569,2025-08-01,28.44,4827.76,2693.83
Project 0569,2025-09-01,32.85,5374.65,3829.03
Project 0569,2025-10-01,33.12,5782.65,4144.0
Project 0569,2025-11-01,28.08,6172.88,4103.01
Project 0569,2025-12-01,31.56,5147.15,3269.47
Project 0569,2026-01-01,26.23,5364.99,3553.51
Project 0569,2026-02-01,31.49,6084.46,3430.69
Project 0569,2026-03-01,23.82,6478.0,4709.58
Project 0569,2026-04-01,25.05,6158.63,3678.63
Project 0569,2026-05-01,36.09,5316.9,3966.33
Project 0569,2026-06-01,29.13,4788.58,2776.69
Project 0569,2026-07-01,37.05,5174.56,3864.8
Project 0569,2026-08-01,26.23,5565.46,3669.89
Project 0570,2024-09-01,318.42,57606.04,41110.14
Project 0570,2024-10-01,210.19,57344.26,42985.81
Project 0570,2024-11-01,258.62,65621.45,39877.57
Project 0570,2024-12-01,226.32,50616.12,27898.3
Project 0570,2025-01-01,286.87,63726.01,44822.28
Project 0570,2025-02-01,219.42,54651.35,37167.94
Project 0570,2025-03-01,312.11,61566.88,40428.09
Project 0570,2025-04-01,266.03,60349.67,42634.89
Project 0570,2025-05-01,317.16,50922.91,35281.32
Project 0570,2025-06-01,322.08,70084.8,41714.53
Project 0570,2025-07-01,265.79,63300.69,41621.71
Project 0570,2025-08-01,316.66,51563.51,38205.3
